Entry,Component_A_SMILES,Component_B_SMILES,Component_C_SMILES,Product_SMILES,Yield_Percent,Is_Synthesizable,Z_ID
1163,Cc1ccc(N)nc1Cl,COc1cc(C)ncc1C=O,COC(=O)CCC([N+]#[C-])C(=O)OC10,"COC(=O)CCC(NC1=C(N=C2C=CC(C)=C(Cl)N12)C1=C(OC)C=C(C)N=C1)C(=O)OC |c:12,21,28,t:8,10,15,25|",0.6,TRUE,Z8873684644
357,Nc1ccc(cn1)S(=O)(=O)O,Cc1ccc(C=O)cc1F,"COC(=O)[C@@H]1CC[C@@H](C1)[N+]#[C-]|&1:4,7,r|","COC(=O)[C@@H]1CC[C@@H](C1)NC1=C(N=C2C=CC(=CN12)S(O)(=O)=O)C1=CC(F)=C(C)C=C1 |&1:4,7,r,c:15,17,32,t:11,13,26,29|",1.4,TRUE,Z8803896930
968,Nc1cnc(Br)c(Cl)n1,Cc1nn(C)c(C)c1C=O,CC(C)[N+]#[C-],"CC(C)NC1=C(N=C2C=NC(Br)=C(Cl)N12)C1=C(C)N(C)N=C1C |c:8,17,22,t:4,6,11|",1.4,TRUE,Z8810903047
356,COCCN(C)c1ccc(N)nc1,CC#CCCCC=O,COC(=O)CCC([N+]#[C-])C(=O)OC,"COCCN(C)C1=CN2C(C=C1)=NC(CCCC#CC)=C2NC(CCC(=O)OC)C(=O)OC |c:10,12,20,t:6|",1.6,TRUE,Z8808559870
1920,Nc1cc(C#N)c(Cl)cn1,O=Cc1cnc(s1)c2ccncc2,[C-]#[N+]CC1CCOC1,"ClC1=CN2C(NCC3CCOC3)=C(N=C2C=C1C#N)C1=CN=C(S1)C1=CC=NC=C1 |c:12,14,17,24,30,32,t:1,22,28|",1.6,TRUE,Z8878918513
353,COc1ccnnc1N,O=Cc1ccccn1,[C-]#[N+]CC1CCOCC1,"COC1=CC=NN2C(NCC3CCOCC3)=C(N=C12)C1=NC=CC=C1 |c:4,16,24,26,t:2,18,22|",1.8,TRUE,Z8778277287
1917,Nc1ccc(Cl)c(Br)n1,O=CCCN1CCOC1=O,CC(C)[N+]#[C-],"CC(C)NC1=C(CCN2CCOC2=O)N=C2C=CC(Cl)=C(Br)N12 |c:4,17,t:15,20|",1.8,TRUE,Z8878918400
1918,Nc1ncccc1N2CCOCC2,Cc1cc(C=O)no1,CCOC(=O)CCC[N+]#[C-],"CCOC(=O)CCCNC1=C(N=C2N1C=CC=C2N1CCOCC1)C1=NOC(C)=C1 |c:11,15,17,31,t:9,27|",1.8,TRUE,Z8873685448
354,Nc1ncc(Cl)c(Cl)c1Cl,Fc1ccc(C=O)cc1,CCCC[N+]#[C-],"CCCCNC1=C(N=C2N1C=C(Cl)C(Cl)=C2Cl)C1=CC=C(F)C=C1 |c:7,15,24,t:5,11,19,21|",2,TRUE,Z8780122034
1908,Cc1cncc(N)n1,O=Cc1noc2CCCc12,C[N+]#[C-],"CNC1=C(N=C2C=NC=C(C)N12)C1=NOC2=C1CCC2 |c:6,17,t:2,4,8,14|",2,TRUE,Z8873685257
